2026-05-28 12:34:35,960 | __main__ | INFO | The program started running
2026-05-28 12:39:08,248 | shape_manager | INFO | Shape loaded from JSON
2026-05-28 12:39:08,248 | circle | INFO | Created Circle object with ID: 2
2026-05-28 12:39:08,249 | shape_manager | INFO | Creating new shape: {{'id': 2, 'shape_type': 'circle', 'radius': 3.5}}
2026-05-28 12:39:08,249 | shape_manager | INFO | Shape: {circle} append to the shape list
2026-05-28 12:39:08,250 | shape_manager | INFO | Successfully saved 1 shapes to shapes.json
2026-05-28 12:39:08,250 | rectangle | INFO | Created Rectangle object with ID: 5
2026-05-28 12:39:08,251 | shape_manager | INFO | Creating new shape: {{'id': 5, 'shape_type': 'rectangle', 'width': 10.0, 'height': 15.0}}
2026-05-28 12:39:08,251 | shape_manager | INFO | Shape: {rectangle} append to the shape list
2026-05-28 12:39:08,252 | shape_manager | INFO | Successfully saved 2 shapes to shapes.json
2026-05-28 12:39:08,252 | square | INFO | Created Square object with ID: 6
2026-05-28 12:39:08,252 | shape_manager | INFO | Creating new shape: {{'id': 6, 'shape_type': 'square', 'side': 4.0}}
2026-05-28 12:39:08,252 | shape_manager | INFO | Shape: {square} append to the shape list
2026-05-28 12:39:08,253 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-28 12:39:10,781 | __main__ | INFO | update shape chosen
2026-05-28 12:39:12,528 | shape_manager | INFO | Successfully update {'id': 2, 'shape_type': 'circle', 'radius': 3.5}
2026-05-28 12:39:12,529 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-28 12:44:47,466 | __main__ | INFO | The program started running
2026-05-28 12:44:47,467 | shape_manager | INFO | Shape_Manager Initializer
2026-05-28 12:44:47,468 | shape_manager | INFO | Shape loaded from JSON
2026-05-28 12:44:47,469 | circle | INFO | Created Circle object with ID: 2
2026-05-28 12:44:47,469 | shape_manager | INFO | Creating new shape: {{'id': 2, 'shape_type': 'circle', 'radius': 3.5}}
2026-05-28 12:44:47,469 | shape_manager | INFO | Shape: {circle} append to the shape list
2026-05-28 12:44:47,471 | shape_manager | INFO | Successfully saved 1 shapes to shapes.json
2026-05-28 12:44:47,471 | rectangle | INFO | Created Rectangle object with ID: 5
2026-05-28 12:44:47,471 | shape_manager | INFO | Creating new shape: {{'id': 5, 'shape_type': 'rectangle', 'width': 10.0, 'height': 15.0}}
2026-05-28 12:44:47,472 | shape_manager | INFO | Shape: {rectangle} append to the shape list
2026-05-28 12:44:47,473 | shape_manager | INFO | Successfully saved 2 shapes to shapes.json
2026-05-28 12:44:47,473 | square | INFO | Created Square object with ID: 6
2026-05-28 12:44:47,473 | shape_manager | INFO | Creating new shape: {{'id': 6, 'shape_type': 'square', 'side': 4.0}}
2026-05-28 12:44:47,474 | shape_manager | INFO | Shape: {square} append to the shape list
2026-05-28 12:44:47,475 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-28 12:44:49,735 | __main__ | INFO | update shape chosen
2026-05-28 14:33:41,674 | __main__ | INFO | The program started running
2026-05-28 14:33:41,675 | shape_manager | INFO | Shape_Manager Initializer
2026-05-28 14:33:41,676 | shape_manager | INFO | Shape loaded from JSON
2026-05-28 14:33:41,676 | circle | INFO | Created Circle object with ID: 2
2026-05-28 14:33:41,676 | shape_manager | INFO | Creating new shape: {{'id': 2, 'shape_type': 'circle', 'radius': 3.5}}
2026-05-28 14:33:41,676 | shape_manager | INFO | Shape: {circle} append to the shape list
2026-05-28 14:33:41,677 | shape_manager | INFO | Successfully saved 1 shapes to shapes.json
2026-05-28 14:33:41,678 | rectangle | INFO | Created Rectangle object with ID: 5
2026-05-28 14:33:41,678 | shape_manager | INFO | Creating new shape: {{'id': 5, 'shape_type': 'rectangle', 'width': 10.0, 'height': 15.0}}
2026-05-28 14:33:41,678 | shape_manager | INFO | Shape: {rectangle} append to the shape list
2026-05-28 14:33:41,679 | shape_manager | INFO | Successfully saved 2 shapes to shapes.json
2026-05-28 14:33:41,680 | square | INFO | Created Square object with ID: 6
2026-05-28 14:33:41,680 | shape_manager | INFO | Creating new shape: {{'id': 6, 'shape_type': 'square', 'side': 4.0}}
2026-05-28 14:33:41,680 | shape_manager | INFO | Shape: {square} append to the shape list
2026-05-28 14:33:41,681 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-28 14:33:52,459 | __main__ | INFO | update shape chosen
2026-05-28 14:33:59,272 | shape_manager | INFO | Successfully update {'id': 2, 'shape_type': 'circle', 'radius': 5.0}
2026-05-28 14:33:59,273 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-28 14:34:10,208 | __main__ | INFO | Show all shapes chosen
2026-05-28 14:35:02,830 | __main__ | INFO | The program started running
2026-05-28 14:35:02,833 | shape_manager | INFO | Shape_Manager Initializer
2026-05-28 14:35:02,834 | shape_manager | INFO | Shape loaded from JSON
2026-05-28 14:35:02,834 | circle | INFO | Created Circle object with ID: 2
2026-05-28 14:35:02,834 | shape_manager | INFO | Creating new shape: {{'id': 2, 'shape_type': 'circle', 'radius': 5.0}}
2026-05-28 14:35:02,835 | shape_manager | INFO | Shape: {circle} append to the shape list
2026-05-28 14:35:02,836 | shape_manager | INFO | Successfully saved 1 shapes to shapes.json
2026-05-28 14:35:02,836 | rectangle | INFO | Created Rectangle object with ID: 5
2026-05-28 14:35:02,836 | shape_manager | INFO | Creating new shape: {{'id': 5, 'shape_type': 'rectangle', 'width': 10.0, 'height': 15.0}}
2026-05-28 14:35:02,836 | shape_manager | INFO | Shape: {rectangle} append to the shape list
2026-05-28 14:35:02,837 | shape_manager | INFO | Successfully saved 2 shapes to shapes.json
2026-05-28 14:35:02,837 | square | INFO | Created Square object with ID: 6
2026-05-28 14:35:02,837 | shape_manager | INFO | Creating new shape: {{'id': 6, 'shape_type': 'square', 'side': 4.0}}
2026-05-28 14:35:02,838 | shape_manager | INFO | Shape: {square} append to the shape list
2026-05-28 14:35:02,839 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-28 14:35:05,709 | __main__ | INFO | Show all shapes chosen
2026-05-30 22:01:32,320 | __main__ | INFO | The program started running
2026-05-30 22:01:32,568 | shape_manager | INFO | Shape_Manager Initializer
2026-05-30 22:01:32,587 | shape_manager | INFO | Shape loaded from JSON
2026-05-30 22:01:32,587 | circle | INFO | Created Circle object with ID: 2
2026-05-30 22:01:32,587 | shape_manager | INFO | Creating new shape: {{'id': 2, 'shape_type': 'circle', 'radius': 5.0}}
2026-05-30 22:01:32,599 | shape_manager | INFO | Shape: {circle} append to the shape list
2026-05-30 22:01:32,634 | shape_manager | INFO | Successfully saved 1 shapes to shapes.json
2026-05-30 22:01:32,634 | rectangle | INFO | Created Rectangle object with ID: 5
2026-05-30 22:01:32,634 | shape_manager | INFO | Creating new shape: {{'id': 5, 'shape_type': 'rectangle', 'width': 10.0, 'height': 15.0}}
2026-05-30 22:01:32,634 | shape_manager | INFO | Shape: {rectangle} append to the shape list
2026-05-30 22:01:32,637 | shape_manager | INFO | Successfully saved 2 shapes to shapes.json
2026-05-30 22:01:32,638 | square | INFO | Created Square object with ID: 6
2026-05-30 22:01:32,638 | shape_manager | INFO | Creating new shape: {{'id': 6, 'shape_type': 'square', 'side': 4.0}}
2026-05-30 22:01:32,638 | shape_manager | INFO | Shape: {square} append to the shape list
2026-05-30 22:01:32,659 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-30 22:01:38,159 | __main__ | INFO | add shape chosen
2026-05-30 22:01:43,252 | shape_manager | INFO | New ID find 7
2026-05-30 22:01:52,273 | square | INFO | Created Square object with ID: 7
2026-05-30 22:01:52,274 | shape_manager | INFO | Creating new shape: {{'id': 7, 'shape_type': 'square', 'side': 25.0}}
2026-05-30 22:01:52,274 | shape_manager | INFO | Shape: {square} append to the shape list
2026-05-30 22:01:52,276 | shape_manager | INFO | Successfully saved 4 shapes to shapes.json
2026-05-30 22:02:17,398 | __main__ | INFO | Show all shapes chosen
2026-05-30 22:02:44,412 | __main__ | INFO | Show all shapes chosen
2026-05-30 22:03:00,142 | __main__ | INFO | update shape chosen
2026-05-30 22:03:04,940 | shape_manager | INFO | Successfully update {'id': 7, 'shape_type': 'square', 'side': 15.0}
2026-05-30 22:03:04,942 | shape_manager | INFO | Successfully saved 4 shapes to shapes.json
2026-05-30 22:03:11,672 | __main__ | INFO | Show all shapes chosen
2026-05-30 22:03:20,265 | __main__ | INFO | delete shape chosen
2026-05-30 22:03:21,951 | shape_manager | INFO | Shape ID 7 successfully deleted.
2026-05-30 22:03:21,953 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-30 22:03:24,983 | __main__ | INFO | Show all shapes chosen
2026-05-30 22:05:09,810 | __main__ | INFO | The program started running
2026-05-30 22:05:09,813 | shape_manager | INFO | Shape_Manager Initializer
2026-05-30 22:05:09,815 | shape_manager | INFO | Shape loaded from JSON
2026-05-30 22:05:09,816 | circle | INFO | Created Circle object with ID: 2
2026-05-30 22:05:09,816 | shape_manager | INFO | Creating new shape: {{'id': 2, 'shape_type': 'circle', 'radius': 5.0}}
2026-05-30 22:05:09,817 | shape_manager | INFO | Shape: {circle} append to the shape list
2026-05-30 22:05:09,820 | shape_manager | INFO | Successfully saved 1 shapes to shapes.json
2026-05-30 22:05:09,820 | rectangle | INFO | Created Rectangle object with ID: 5
2026-05-30 22:05:09,821 | shape_manager | INFO | Creating new shape: {{'id': 5, 'shape_type': 'rectangle', 'width': 10.0, 'height': 15.0}}
2026-05-30 22:05:09,821 | shape_manager | INFO | Shape: {rectangle} append to the shape list
2026-05-30 22:05:09,822 | shape_manager | INFO | Successfully saved 2 shapes to shapes.json
2026-05-30 22:05:09,823 | square | INFO | Created Square object with ID: 6
2026-05-30 22:05:09,823 | shape_manager | INFO | Creating new shape: {{'id': 6, 'shape_type': 'square', 'side': 4.0}}
2026-05-30 22:05:09,823 | shape_manager | INFO | Shape: {square} append to the shape list
2026-05-30 22:05:09,825 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-30 22:05:14,068 | __main__ | INFO | delete shape chosen
2026-05-30 22:05:16,211 | shape_manager | WARNING | The ID 1 was not found in the file. Delete failed.
2026-05-30 22:05:24,166 | __main__ | INFO | delete shape chosen
2026-05-30 22:05:31,080 | __main__ | INFO | update shape chosen
